participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
5,\RIGHT,left,5,1,0.6,11,1133841.48592527,1133860.25703103,OK,NO RESPONSE,NaN,1,0,1466348282,0.2
5,\LEFT,right,9,2,0.6,10,1133861.41772941,1133880.3088705,OK,NO RESPONSE,NaN,0,1,1466348282,0.2
5,\RIGHT,left,3,3,0.6,7,1133881.46957945,1133888.66386353,OK,RightArrow,7.09039987833239,1,0,1466348282,0.2
5,\LEFT,right,10,4,0.6,4,1133892.74624882,1133896.21829857,OK,LeftArrow,3.28519558650441,0,1,1466348282,0.2
5,\LEFT,left,1,5,0.6,7,1133899.27010847,1133901.81160582,OK,LeftArrow,2.36904723802581,1,0,1466348282,0.2
5,\LEFT,right,1,6,0.6,11,1133903.55265204,1133907.61505277,OK,LeftArrow,3.95017956756055,0,1,1466348282,0.2
5,\LEFT,left,2,7,0.6,8,1133909.39611127,1133913.62861316,OK,LeftArrow,4.11437120544724,1,0,1466348282,0.2
5,\RIGHT,right,1,8,0.6,11,1133915.36968292,1133919.50211774,OK,RightArrow,3.98047786904499,0,1,1466348282,0.2
5,\RIGHT,right,7,9,0.6,1,1133921.16310892,1133923.58450273,OK,RightArrow,2.30680829635821,0,1,1466348282,0.2
5,\RIGHT,left,10,10,0.6,1,1133925.14546276,1133927.68694713,OK,RightArrow,2.38019618717954,1,0,1466348282,0.2
5,\RIGHT,right,4,11,0.6,8,1133934.10073324,1133938.8235278,OK,RightArrow,4.60025994898751,0,1,1466348282,0.2
5,\RIGHT,left,6,12,0.6,3,1133940.33444523,1133942.49571712,OK,RightArrow,2.01441370509565,1,0,1466348282,0.2
5,\LEFT,left,3,13,0.6,1,1133943.80652456,1133946.24795334,OK,LeftArrow,2.34196962369606,1,0,1466348282,0.2
5,\LEFT,left,7,14,0.6,10,1133947.52872539,1133950.73057159,OK,LeftArrow,3.06762415939011,1,0,1466348282,0.2
5,\LEFT,right,7,15,0.6,4,1133953.05199311,1133957.20443604,OK,LeftArrow,4.0559101565741,0,1,1466348282,0.2
5,\LEFT,right,2,16,0.6,7,1133959.05550085,1133962.63761478,OK,LeftArrow,3.49205785291269,0,1,1466348282,0.2
5,\LEFT,left,5,17,0.6,8,1133964.25859277,1133967.94077558,OK,LeftArrow,3.56875487114303,1,0,1466348282,0.2
5,\LEFT,left,8,18,0.6,8,1133969.30156072,1133974.50465958,OK,LeftArrow,5.04534799419343,1,0,1466348282,0.2
5,\LEFT,right,5,19,0.6,4,1133977.62653073,1133980.44814091,OK,LeftArrow,2.68005419918336,0,1,1466348282,0.2
5,\RIGHT,left,2,20,0.6,6,1133981.83898619,1133984.86077367,OK,RightArrow,2.83526232442819,1,0,1466348282,0.2
5,\LEFT,left,6,21,0.6,7,1133988.72302033,1133991.71480592,OK,LeftArrow,2.8869071083609,1,0,1466348282,0.2
5,\RIGHT,left,1,22,0.6,1,1133993.16564895,1133996.17747101,OK,RightArrow,2.90002408716828,1,0,1466348282,0.2
5,\LEFT,right,4,23,0.6,5,1133997.68833139,1134003.72184314,OK,LeftArrow,5.92886236403137,0,1,1466348282,0.2
5,\RIGHT,left,8,24,0.6,11,1134005.38282616,1134009.06502226,OK,RightArrow,3.55407916428521,1,0,1466348282,0.2
5,\LEFT,left,9,25,0.6,3,1134010.62599405,1134013.82778381,OK,LeftArrow,3.03062369022518,1,0,1466348282,0.2
5,\RIGHT,right,3,26,0.6,4,1134015.30867068,1134019.18095672,OK,RightArrow,3.69162331661209,0,1,1466348282,0.2
5,\LEFT,left,4,27,0.6,1,1134020.61178892,1134023.81365082,OK,LeftArrow,3.08426849963143,1,0,1466348282,0.2
5,\LEFT,right,3,28,0.6,1,1134025.20446501,1134027.9360828,OK,LeftArrow,2.59536462579854,0,1,1466348282,0.2
5,\LEFT,left,10,29,0.6,8,1134029.26687027,1134031.99846814,OK,LeftArrow,2.59669334790669,1,0,1466348282,0.2
5,\RIGHT,right,5,30,0.6,2,1134033.25919646,1134035.42043817,OK,RightArrow,1.9882268353831,0,1,1466348282,0.2
5,\RIGHT,left,4,31,0.6,11,1134039.04257766,1134042.5346011,OK,RightArrow,3.38831944135018,1,0,1466348282,0.2
5,\LEFT,right,8,32,0.6,11,1134044.1255603,1134050.17908015,OK,LeftArrow,5.96085280878469,0,1,1466348282,0.2
5,\RIGHT,right,8,33,0.6,3,1134051.76002322,1134054.75140826,OK,RightArrow,2.83018921455368,0,1,1466348282,0.2
5,\LEFT,right,6,34,0.6,11,1134056.57282314,1134060.72524433,OK,LeftArrow,4.02504891413264,0,1,1466348282,0.2
5,\RIGHT,right,10,35,0.6,7,1134062.22608678,1134065.4279526,OK,RightArrow,3.09947273693979,0,1,1466348282,0.2
5,\RIGHT,right,6,36,0.6,8,1134067.04893633,1134070.63093948,OK,RightArrow,3.40436099702492,0,1,1466348282,0.2
5,\RIGHT,left,7,37,0.6,6,1134072.05186181,1134075.06355408,OK,RightArrow,2.88119801087305,1,0,1466348282,0.2
5,\RIGHT,right,9,38,0.6,9,1134076.57446699,1134082.41783687,OK,RightArrow,5.71017079008743,0,1,1466348282,0.2
5,\RIGHT,left,9,39,0.6,6,1134083.87872952,1134086.70036716,OK,RightArrow,2.70962294121273,1,0,1466348282,0.2
5,\RIGHT,right,2,40,0.6,3,1134088.20121414,1134090.64264654,OK,RightArrow,2.26688989112154,0,1,1466348282,0.2
