participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
5,1,1,5,23,53,1,bucket,11,practice,name,Not Studied,go,present,NA,30,1134541.52415274,1134564.13725498,Return,parking lot,22.5080846180208,,6,1,1,0,0,1466375571,0.2
5,1,1,5,23,53,1,bucket,11,practice,noise,Not Studied,go,present,\ENTER,4,1134703.37801445,1134707.39035418,OK,NO RESPONSE,NaN,,7,1,1,0,0,1466375571,0.2
5,1,1,5,23,53,1,bucket,11,practice,noise,Not Studied,go,present,\ENTER,4,1134711.06248857,1134714.65454799,Return,Return,3.48906868137419,,7,1,2,0,0,1466375571,0.2
5,1,1,5,23,53,1,bucket,11,practice,study,Not Studied,go,present,f,NaN,1134169.61850377,1134181.86560651,OK,f,12.0602878152858,,10,0,1,0,0,1466375571,0.2
5,1,1,5,23,53,1,bucket,11,practice,study,Not Studied,go,present,f,NaN,1134368.6538954,1134374.14709423,OK,j,5.38960318849422,,10,0,2,0,0,1466375571,0.2
5,1,1,5,125,111,2,cork screw,16,practice,name,Not Studied,go,absent,NA,30,1134564.17418875,1134564.18726739,OK,NO RESPONSE,NaN,,2,0,1,0,0,1466375571,0.2
5,1,1,5,125,111,2,cork screw,16,practice,noise,Not Studied,go,absent,\ENTER,4,1134717.66749171,1134717.67630921,OK,NO RESPONSE,NaN,,11,1,1,0,0,1466375571,0.2
5,1,1,5,125,111,2,cork screw,16,practice,noise,Not Studied,go,absent,\ENTER,4,1134720.50763849,1134724.29020652,Return,Return,3.61937458906323,,11,1,2,0,0,1466375571,0.2
5,1,1,5,125,111,2,cork screw,16,practice,study,Not Studied,go,absent,f,NaN,1134188.0091622,1134200.91667507,OK,f,12.7484984719194,,5,0,1,0,0,1466375571,0.2
5,1,1,5,125,111,2,cork screw,16,practice,study,Not Studied,go,absent,f,NaN,1134376.88869131,1134381.62140782,OK,j,4.62636411329731,,5,0,2,0,0,1466375571,0.2
5,1,1,5,40,88,3,cookie cutter,9,practice,name,CFS,nogo,absent,NA,30,1134564.22217487,1134564.22731529,OK,NO RESPONSE,NaN,,10,0,1,0,0,1466375571,0.2
5,1,1,5,40,88,3,cookie cutter,9,practice,noise,CFS,nogo,absent,z,4,1134726.31262938,1134726.32127996,OK,NO RESPONSE,NaN,,2,0,1,0,0,1466375571,0.2
5,1,1,5,40,88,3,cookie cutter,9,practice,noise,CFS,nogo,absent,z,4,1134728.34253136,1134737.7379342,OK,NO RESPONSE,NaN,,2,0,2,0,0,1466375571,0.2
5,1,1,5,40,88,3,cookie cutter,9,practice,study,CFS,nogo,absent,j,NaN,1134206.32979259,1134217.71642079,OK,f,11.2428799278568,,10,0.6,1,0,0,1466375571,0.2
5,1,1,5,40,88,3,cookie cutter,9,practice,study,CFS,nogo,absent,j,NaN,1134385.65375384,1134389.34588637,OK,j,3.55690020811744,1!,10,0.6,2,0,0,1466375571,0.2
5,1,1,5,81,96,4,stroller,1,practice,name,CFS,name,present,NA,30,1134564.36739615,1134572.07184758,Return,bridge,7.51250634645112,,4,1,1,0,0,1466375571,0.2
5,1,1,5,81,96,4,stroller,1,practice,name,CFS,name,present,NA,30,1134745.352354,1134760.44110339,Return,boat,14.9804962815251,,4,1,2,0,0,1466375571,0.2
5,1,1,5,81,96,4,stroller,1,practice,noise,CFS,name,present,NA,4,1134740.17937112,1134744.19172776,OK,NO RESPONSE,NaN,,8,1,1,0,0,1466375571,0.2
5,1,1,5,81,96,4,stroller,1,practice,study,CFS,name,present,j,NaN,1134223.9100061,1134232.90520103,OK,j,8.86971220280975,1!,9,0.6,1,0,0,1466375571,0.2
5,1,1,5,81,96,4,stroller,1,practice,study,CFS,name,present,j,NaN,1134392.96799839,1134397.04035185,OK,j,3.90610958565958,2@,9,0.6,2,0,0,1466375571,0.2
5,1,1,5,112,37,5,rake,4,practice,name,CFS,go,present,NA,30,1134572.21192843,1134575.31375677,Return,staircase,2.99569387850352,,10,1,1,0,0,1466375571,0.2
5,1,1,5,112,37,5,rake,4,practice,noise,CFS,go,present,\ENTER,4,1134761.6017891,1134765.61412158,OK,NO RESPONSE,NaN,,8,1,1,0,0,1466375571,0.2
5,1,1,5,112,37,5,rake,4,practice,noise,CFS,go,present,\ENTER,4,1134767.80544003,1134772.3480183,Return,Return,4.43874597852118,,8,1,2,0,0,1466375571,0.2
5,1,1,5,112,37,5,rake,4,practice,study,CFS,go,present,j,NaN,1134241.89042481,1134248.1440468,OK,j,6.08851002645679,1!,11,0.6,1,0,0,1466375571,0.2
5,1,1,5,112,37,5,rake,4,practice,study,CFS,go,present,j,NaN,1134401.46291924,1134404.0844487,OK,f,2.47486506029963,,11,0.6,2,0,0,1466375571,0.2
5,1,1,5,34,4,6,chess board,5,practice,name,CFS,nogo,present,NA,30,1134575.46383172,1134577.70511368,Return,window,2.13570772693492,,7,1,1,0,0,1466375571,0.2
5,1,1,5,34,4,6,chess board,5,practice,noise,CFS,nogo,present,z,4,1134774.73938939,1134778.75172278,OK,NO RESPONSE,NaN,,9,0,1,0,0,1466375571,0.2
5,1,1,5,34,4,6,chess board,5,practice,noise,CFS,nogo,present,z,4,1134780.64285934,1134790.03826248,OK,NO RESPONSE,NaN,,9,0,2,0,0,1466375571,0.2
5,1,1,5,34,4,6,chess board,5,practice,study,CFS,nogo,present,j,NaN,1134252.88682229,1134261.90200661,OK,f,8.85117137013003,,4,0.6,1,0,0,1466375571,0.2
