participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,version,seed,rt_robo
18,1,2,3,201,203,1,bellow,11,practice,name,Not Studied,go,present,NA,30,2444535.88302719,2444541.94657584,Return,pipe,5.95754428487271,,1,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,201,203,1,bellow,11,practice,noise,Not Studied,go,present,\ENTER,4,2444709.7239144,2444713.73622636,OK,NO RESPONSE,NaN,,11,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,201,203,1,bellow,11,practice,noise,Not Studied,go,present,\ENTER,4,2444718.3989622,2444725.5130545,Return,Return,6.93488809699193,,11,1,2,0,0,68255c2,1597742641,0.2
18,1,2,3,201,203,1,bellow,11,practice,study,Not Studied,go,present,f,NaN,2444193.11441829,2444205.64169211,OK,f,12.3457870576531,,2,0,1,0,0,68255c2,1597742641,0.2
18,1,2,3,201,203,1,bellow,11,practice,study,Not Studied,go,present,f,NaN,2444386.69661251,2444398.54347233,OK,j,11.704386533238,,2,0,2,0,0,68255c2,1597742641,0.2
18,1,2,3,14,139,2,binoculars,2,practice,name,CFS,go,present,NA,30,2444542.09667584,2444552.79286426,Return,i dont know,10.5352404108271,,10,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,14,139,2,binoculars,2,practice,noise,CFS,go,present,\ENTER,4,2444728.60486942,2444732.61721036,OK,NO RESPONSE,NaN,,2,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,14,139,2,binoculars,2,practice,noise,CFS,go,present,\ENTER,4,2444736.62954194,2444743.07325055,Return,Return,6.32728667231277,,2,1,2,0,0,68255c2,1597742641,0.2
18,1,2,3,14,139,2,binoculars,2,practice,study,CFS,go,present,j,NaN,2444210.07426656,2444218.41910734,OK,f,8.22530047176406,,2,0.6,1,0,0,68255c2,1597742641,0.2
18,1,2,3,14,139,2,binoculars,2,practice,study,CFS,go,present,j,NaN,2444403.2861962,2444405.45746279,OK,f,2.01039856206626,,2,0.6,2,0,0,68255c2,1597742641,0.2
18,1,2,3,23,53,3,bucket,7,practice,name,CFS,go,absent,NA,30,2444552.83221399,2444552.84292768,OK,NO RESPONSE,NaN,,10,0,1,0,0,68255c2,1597742641,0.2
18,1,2,3,23,53,3,bucket,7,practice,noise,CFS,go,absent,\ENTER,4,2444745.4861601,2444745.49464406,OK,NO RESPONSE,NaN,,11,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,23,53,3,bucket,7,practice,noise,CFS,go,absent,\ENTER,4,2444748.99669691,2444758.39213657,OK,NO RESPONSE,NaN,,11,1,2,0,0,68255c2,1597742641,0.2
18,1,2,3,23,53,3,bucket,7,practice,study,CFS,go,absent,j,NaN,2444222.72161404,2444228.88526078,OK,f,6.02527258126065,,2,0.6,1,0,0,68255c2,1597742641,0.2
18,1,2,3,23,53,3,bucket,7,practice,study,CFS,go,absent,j,NaN,2444407.4786342,2444408.03896639,CAUGHT,j,0.425702347885817,,2,0.6,2,0,0,68255c2,1597742641,0.2
18,1,2,3,26,52,4,camera,10,practice,name,Not Studied,name,present,NA,30,2444552.97298758,2444557.66569754,Return,car,4.52268214710057,,11,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,26,52,4,camera,10,practice,name,Not Studied,name,present,NA,30,2444767.17725368,2444773.55096412,Return,NO RESPONSE,6.26576763112098,,11,1,2,0,0,68255c2,1597742641,0.2
18,1,2,3,26,52,4,camera,10,practice,noise,Not Studied,name,present,NA,4,2444762.0042364,2444766.01658307,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,26,52,4,camera,10,practice,study,Not Studied,name,present,f,NaN,2444235.29885709,2444240.30178046,OK,j,4.87141853291541,,4,0,1,0,0,68255c2,1597742641,0.2
18,1,2,3,26,52,4,camera,10,practice,study,Not Studied,name,present,f,NaN,2444411.37090841,2444412.3114543,OK,f,0.773197848815471,,4,0,2,0,0,68255c2,1597742641,0.2
18,1,2,3,187,2,5,jacket,13,practice,name,Not Studied,go,present,NA,30,2444557.81579905,2444563.91934006,Return,shirt,5.99149823188782,,5,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,187,2,5,jacket,13,practice,noise,Not Studied,go,present,\ENTER,4,2444774.71161934,2444778.72395092,OK,NO RESPONSE,NaN,,9,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,187,2,5,jacket,13,practice,noise,Not Studied,go,present,\ENTER,4,2444781.395494,2444784.98757938,Return,Return,3.44681731518358,,9,1,2,0,0,68255c2,1597742641,0.2
18,1,2,3,187,2,5,jacket,13,practice,study,Not Studied,go,present,f,NaN,2444244.35412855,2444248.13631866,OK,f,3.66368302889168,,7,0,1,0,0,68255c2,1597742641,0.2
18,1,2,3,187,2,5,jacket,13,practice,study,Not Studied,go,present,f,NaN,2444415.75345477,2444416.48387604,OK,f,0.574449480045587,,7,0,2,0,0,68255c2,1597742641,0.2
18,1,2,3,40,88,6,cookie cutter,5,practice,name,CFS,nogo,present,NA,30,2444564.05944144,2444585.65191681,Return,backpack,21.4825877659023,,9,1,1,0,0,68255c2,1597742641,0.2
18,1,2,3,40,88,6,cookie cutter,5,practice,noise,CFS,nogo,present,z,4,2444788.42959917,2444792.44191294,OK,NO RESPONSE,NaN,,8,0,1,0,0,68255c2,1597742641,0.2
