participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,version,seed,rt_robo
20,\LEFT,right,8,1,0.6,6,2444042.42942531,2444061.20094942,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,10,2,0.6,4,2444062.29163847,2444081.17323129,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,left,6,3,0.6,5,2444082.333949,2444101.21558438,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,right,10,4,0.6,11,2444102.37628548,2444121.25794049,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,right,10,5,0.6,1,2444122.41863646,2444141.30026792,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,right,8,6,0.6,2,2444142.46098954,2444161.34263398,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,left,1,7,0.6,4,2444162.50334686,2444181.38499915,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,1,8,0.6,2,2444182.53539073,2444201.42738785,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,right,1,9,0.6,1,2444202.58808593,2444221.46974577,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,right,5,10,0.6,1,2444222.63046166,2444241.51211757,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,right,4,11,0.6,9,2444250.31755428,2444269.19922015,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,4,12,0.6,5,2444270.35993725,2444289.24159558,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,4,13,0.6,10,2444290.40232777,2444309.28397643,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,7,14,0.6,4,2444310.43436923,2444329.32636152,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,left,3,15,0.6,3,2444330.48708465,2444349.36875777,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,left,8,16,0.6,10,2444350.529464,2444369.41114678,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,left,1,17,0.6,10,2444370.57184516,2444389.45352311,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,2,18,0.6,5,2444390.61427371,2444409.49589913,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,9,19,0.6,7,2444410.65661774,2444429.53828482,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,left,2,20,0.6,2,2444430.69900916,2444449.58067473,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,right,9,21,0.6,4,2444501.25260779,2444520.13427668,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,5,22,0.6,10,2444521.29500344,2444540.17666086,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,9,23,0.6,3,2444541.33737856,2444560.21904534,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,left,3,24,0.6,8,2444561.37976787,2444580.26143253,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,left,4,25,0.6,10,2444581.41182472,2444600.30382365,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,3,26,0.6,3,2444601.45421524,2444620.34621779,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,left,2,27,0.6,3,2444621.49699755,2444640.38859986,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,right,3,28,0.6,11,2444641.54935287,2444660.43101482,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,right,6,29,0.6,7,2444661.59170898,2444680.47337485,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,right,6,30,0.6,1,2444681.63409769,2444700.51576688,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\LEFT,left,5,31,0.6,6,2444706.99977482,2444725.8814742,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\RIGHT,right,7,32,0.6,3,2444727.03186276,2444745.92384057,OK,NO RESPONSE,NaN,0,1,68255c2,1597733905,0.2
20,\RIGHT,left,8,33,0.6,1,2444747.08455827,2444765.96622565,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
20,\LEFT,left,10,34,0.6,3,2444767.12695603,2444786.00861737,OK,NO RESPONSE,NaN,1,0,68255c2,1597733905,0.2
